i,j,vm_mrs,mem_mrs,backoff_mrs
76,16,46134,10,0
75,33,36630,8,0
69,64,43710,8,0
74,20,47561,8,0
59,24,900411,151,8103
91,44,53742,13,0
71,19,56992,8,0
11,1,87600,20,40
85,41,44445,9,0
79,76,51912,8,0
81,68,45698,10,0
26,20,39254,10,0
87,11,143047,29,86
47,32,345318,63,284
54,1,55228,10,0
37,19,50317,9,0
84,18,370188,71,364
99,5,45934,8,0
57,22,182809,33,1030
63,36,631882,115,488
69,65,47035,10,0
44,31,87272,19,42
16,6,313031,63,256
95,71,47474,11,0
64,32,393983,77,1536
100,12,3446946,1374,15127
64,62,403415,74,290
40,28,52163,8,0
68,49,44475,7,0
96,71,49614,7,0
48,26,51719,9,0
68,29,47392,10,0
97,59,51791,8,0
100,36,64405,21,0
94,44,50120,10,0
99,25,52584,9,0
91,17,47748,8,0
90,43,53814,8,0
95,57,45979,10,0
81,13,49458,7,0
94,42,46400,8,0
63,48,352820,71,264
79,59,53456,8,0
59,58,91638,16,160
74,25,43146,8,0
80,34,238690,46,640
81,40,42262,4,0
68,59,50399,8,0
66,22,41804,8,0
73,37,53613,10,0
19,11,321967,52,234
17,7,485862,98,641
37,30,47623,8,0
96,5,57817,8,0
78,40,45430,9,0
40,21,55168,8,0
93,81,49323,9,0
58,10,412003,65,1767
77,21,54485,10,0
40,8,47786,8,0
37,10,42221,10,0
81,45,41795,8,0
55,3,541982,130,802
66,38,48538,8,0
44,8,46968,9,0
59,25,527782,109,5278
73,64,50018,8,0
97,38,44746,7,0
97,32,34870,8,0
100,30,44892,7,0
65,54,673113,125,637
81,11,48195,9,0
69,68,42688,22,0
89,39,63526,8,0
96,15,48010,8,0
76,60,46618,9,0
72,60,40410,8,0
63,50,363830,67,259
78,33,47685,24,0
42,1,86928,21,40
62,32,500129,84,869
14,7,277821,51,356
94,27,36592,9,0
74,40,37999,5,0
79,41,40646,9,0
98,52,53269,11,0
95,59,41123,9,0
63,58,308782,68,237
55,37,380816,82,307
24,10,42386,9,0
19,14,272250,51,188
71,11,44495,9,0
39,8,48248,10,0
96,78,43259,8,0
87,40,42355,10,0
82,14,59662,8,0
63,15,412742,85,909
37,23,51029,8,0
89,29,46628,8,0
61,25,688421,114,859
69,11,59403,8,0
67,37,46844,10,0
89,44,47132,8,0
63,4,49626,9,0
31,14,42436,8,0
46,38,47914,8,0
63,32,361350,71,277
29,2,50743,8,0
74,29,50694,9,0
64,54,372604,74,416
75,28,53174,9,0
22,21,422547,93,324
98,43,57083,7,0
36,35,42107,9,0
17,9,527386,94,1005
78,74,199334,37,117
89,61,54010,8,0
82,3,54421,10,0
59,30,59261,8,0
72,22,43430,8,0
48,36,187452,38,124
65,62,467087,83,386
84,79,308940,63,488
93,14,61371,8,0
99,26,56518,25,0
84,23,331049,60,248
91,56,46567,8,0
49,33,45234,8,0
100,21,644420,147,988
73,11,48200,8,0
99,98,54149,7,0
91,3,45121,8,0
86,66,385460,208,344
33,1,41426,9,0
39,34,50112,8,0
60,5,355490,61,220
97,37,41724,8,0
46,42,47359,9,0
99,76,47684,7,0
27,14,139766,25,78
63,2,50791,10,0
42,31,45024,10,0
98,82,41235,11,0
34,27,49170,8,0
77,7,93241,11,38
49,41,186673,36,118
80,48,39495,7,0
55,52,50354,10,0
88,75,206052,28,110
87,21,461643,88,385
80,26,45539,7,0
50,48,50324,8,0
88,19,340907,62,357
97,26,45264,6,0
67,24,45063,9,0
31,24,47983,9,0
32,17,48385,10,0
98,35,57413,9,0
86,77,461509,71,1304
53,15,486416,111,585
87,81,46120,10,0
74,69,313113,59,254
98,26,46348,9,0
90,55,42424,7,0
18,7,207319,52,151
88,31,40832,8,0
74,9,47837,8,0
65,25,327394,60,309
58,20,466634,87,478
21,6,45925,9,0
72,4,43055,8,0
99,39,48341,9,0
68,36,46387,8,0
81,41,44397,10,0
53,47,92150,19,38
98,77,62833,9,0
50,44,43659,9,0
67,9,50291,7,0
90,7,39404,9,0
53,31,100093,17,44
54,27,779466,155,784
77,37,47834,8,0
99,77,43195,5,0
60,53,777851,293,1936
48,34,189775,31,113
36,15,46146,10,0
92,86,64412,7,0
26,24,341361,64,597
65,44,326398,52,739
92,2,53510,8,0
86,29,282814,72,280
98,25,42614,7,0
85,76,357910,70,587
76,37,42229,8,0
96,93,44284,7,0
100,95,44723,7,0
65,7,48234,13,0
94,2,40213,8,0
69,14,48891,8,0
51,46,53193,9,0
94,41,49616,9,0
89,45,52502,8,0
61,3,148102,28,119
90,14,47613,23,0
9,4,213233,44,194
79,72,63756,13,0
74,45,45750,9,0
99,57,47083,26,0
95,72,51313,7,0
48,3,47138,8,0
26,7,195160,34,112
80,27,46020,8,0
52,8,45055,9,0
56,37,334822,60,226
91,23,52609,8,0
96,11,45231,10,0
52,25,371646,69,271
99,52,43031,9,0
65,47,521606,102,3916
90,1,37745,8,0
81,32,49938,9,0
23,21,388378,65,259
77,39,46157,5,0
73,33,42579,8,0
67,12,196310,35,110
57,34,42069,6,0
77,66,45834,8,0
76,59,46307,10,0
73,39,55320,8,0
35,9,62023,10,0
63,41,327341,79,227
73,40,58025,13,0
61,35,245993,44,169
80,44,48562,7,0
53,33,50420,7,0
83,78,546247,91,425
28,23,45912,10,0
44,22,45887,9,0
92,39,44249,12,0
89,80,150808,36,99
90,77,52743,8,0
90,71,43849,8,0
82,72,44495,9,0
58,38,750095,126,743
86,2,45038,8,0
51,39,479398,105,327
48,47,48662,8,0
59,7,440393,51,6811
81,26,45088,7,0
65,26,446654,94,436
71,61,73489,9,0
85,30,723320,131,587
57,48,301364,53,215
65,41,883609,150,1352
79,66,49472,9,0
78,17,42831,7,0
88,86,415248,76,1041
66,9,65250,9,0
74,31,46188,9,0
31,12,46427,8,0
54,2,165175,28,270
44,15,53986,8,0
94,7,51110,8,0
60,41,1694246,300,8720
94,50,54680,9,0
96,84,42277,8,0
87,30,421922,112,360
50,33,48002,9,0
17,13,268621,45,355
50,24,41052,11,0
45,22,51937,7,0
98,10,48114,7,0
91,1,37502,11,0
59,4,61031,8,0
45,9,38781,7,0
89,73,316669,57,4263
92,36,49554,9,0
32,13,44364,8,0
39,17,52698,10,0
69,5,44989,8,0
49,26,43449,8,0
83,71,622957,100,840
75,61,43461,8,0
29,25,47078,9,0
14,9,303036,80,298
72,37,48392,7,0
46,31,44182,9,0
63,52,411965,85,304
97,27,48634,7,0
64,8,306762,71,246
15,12,48681,8,0
88,87,488451,86,923
82,15,225954,51,160
75,59,51560,7,0
73,69,52075,9,0
84,9,203363,42,552
66,47,43452,11,0
70,64,47205,8,0
88,49,385424,69,535
89,52,43333,8,0
